Cluster ID,Número de Abstracts,Ejemplo de Abstract
2026,2,"Much has been written about Adaptive Learning, but does its implementation alone guarantee success? We have found that integrating an Adaptive Learning Strategy with diverse didactic techniques gives better re..."
740,2,"This concept paper discussed the development of science teacher education programs in Malaysia. The discussion encompassed the existing policies, practices and issues, arising from the science teacher educatio..."
935,2,This paper presents a perspective on AI that starts with going back to early work on this topic originating in theoretical work of Alan Turing. The argument is made that the core idea - that leads to the title...
895,2,"Educational robotics, as emerging technologies, have been widely applied in the field of STEM education to enhance the instructional and learning quality. Although previous research has highlighted potentials ..."
1251,1,Computational modeling is an increasingly common practice for disciplinary experts and therefore necessitates integration into science curricula. Computational models afford an opportunity for students to inve...
1132,1,Learning interaction patterns is key to the explanation of learning outcomes. Different studies have reported the relationship between classroom process variables and learning outcomes in a traditional classro...
3104,1,Curriculum standards are a critical component of a nations educational system and directly impact talent development and overall national development. Most studies on curriculum standards focus on a single co...
1053,1,"Learning assistants (LAs) increase accessibility to instructorstudent interactions in large STEM lecture classes. In this research, we used the Formative Assessment Enactment Model developed for K-12 science ..."
233,3,"In this editorial, we review 400 articles and reviews published in the International Journal of STEM Education during its first decade (20142023). Using bibliometric analysis, we examine these publications to as..."
1746,2,This paper introduces the fundamental concepts of computational surgery by Garbey et al. and proposes a road map for progress in this new multidisciplinary field of applied investigation. Recognizing this intr...
1420,3,The interest-driven creator (IDC) theory is being developed as a group endeavor by Asian researchers to articulate a holistic learning design theory for future education in Asia. The theory hypothesizes that s...
1625,1,"Emerging methodologies that apply and integrate science, technology, engineering, art, and math (STEAM) in education have appeared in recent years as a pedagogical alternative providing more holistic and attra..."
1776,2,"Understanding how people tick is an endeavour that has challenged us for millennia, both in informal settings and in increasingly formalized and scientific disciplines. Some are interested in the biology and o..."
1403,1,"Evidence from the research literature indicates that both audience response systems (ARS) and guided inquiry worksheets (GIW) can lead to greater student engagement, learning, and equity in the STEM classroom...."
1963,1,"With increasing engineering demands, there need high order accurate schemes embedded with precise physical information in order to capture delicate small scale structures and strong waves with correct physics..."
1351,1,"Puberty is a phase in which individuals often test the boundaries of themselves and surrounding others and further define their identity  and thus their uniqueness compared to other individuals. Similarly, as..."
1342,2,"Despite the recent emphasis on technology and engineering in early childhood education, the importance of teaching relevant concepts in early education has been underappreciated in South Korea. This study exam..."
992,2,The development of students' core competencies for the future society has become a shared goal in curriculum reform worldwide. Efforts are being made to investigate which core competencies should be cultivated...
2394,2,"Solanum lycopersicum Linn. (Tomato, Family Solanaceae) is one of the fruits that are most consumed worldwide. The current research intends to emphasise the possibility of positive and therapeutic effects of S. ly..."
2503,1,"Popularly used in marketing and business, gamification has been gaining interest in educational contexts for its potential to invigorate otherwise mundane or difficult processes. A gamified environment transfe..."
1365,1,"Computational intelligence is one of the most powerful data processing tools to solve complex nonlinear problems, and thus plays a significant role in intelligent fault diagnosis and prediction. However, only ..."
41,1,The drift diffusion model (DDM) is a widely applied computational model of decision making that allows differentiation between latent cognitive and residual processes. One main assumption of the DDM that has u...
2915,2,"Computational microscopy, as a subfield of computational imaging, combines optical manipulation and image algorithmic reconstruction to recover multi-dimensional microscopic images or information of micro-obje..."
1355,2,"Human behaviour reflects cognitive abilities. Human cognition is fundamentally linked to the different experiences or characteristics of consciousness/emotions, such as joy, grief, anger, etc., which assists i..."
1336,2,"Computational criminology seeks to address criminological and criminal justice problems through the use of applied mathematics, computer science, and criminology. The development of mathematical and computatio..."
18,2,"Given the large variation in conceptualizations and enactment of K 12 integrated STEM, this paper puts forth a detailed conceptual framework for K 12 integrated STEM education that can be used by researchers, e..."
727,2,The role of engineering education has gained prominence within the context of STEM education. New educational perspectives such as the National Research Councils Framework for K-12 Science Education consider ...
3069,2,"As the demand for higher-order thinking skills continues to rise in the 21st century, the integration of Generative Artificial Intelligence (GAI) into educational practices has emerged as a promising tool. How..."
1638,1,"The coupled influences of scholarship in the fields of Psychology, Philosophy, and Pedagogy beginning in the 1950s, set in motion the emergence of new images, methodological perspectives, theories, and design ..."
1458,1,"This paper describes the design, implementation and research of the Cyber Sleuth Science Lab (CSSL), an innovative educational program and supporting virtual learning environment, that combines pedagogical the..."
1838,1,"This paper presents an empirical analysis of problem-solving digital competence among primary and secondary students. The study explores the relationship between learners personal autonomy, their ability to f..."
1150,2,"The mystery of aesthetics attracts scientists from various research fields. The topic of aesthetics, in combination with other disciplines such as neuroscience and computer science, has brought out the burgeon..."
1,20,This article is part of a Supplement: Volume 8 Supplement 2
409,2,Visual arts refer to art experienced primarily through vision. 3D visual optical art is one of them. Artists use their rich imagination and experience to combine light and objects to give viewers an unforgetta...
1671,1,"The expanding use of IT has brought an increase in productivity to the world of business, industry and commerce. However, this is not mirrored by an equivalent growth in the use of IT by aid agencies in post-d..."
1834,1,This paper explores the epistemologies and discourse of undergraduate students at the transdisciplinary intersection of engineering and the arts. Our research questions focus on the kinds of knowledge that stu...
1689,2,Early exposure to Computer Science (CS) and Computational Thinking (CT) for all is critical to broaden participation and promote equity in the field. But how does the introduction of CS and CT into primary sch...
3077,2,"Despite the increased adoption of Artificial Intelligence in Education (AIED), several concerns are still associated with it. This has motivated researchers to conduct (systematic) reviews aiming at synthesizi..."
1360,2,"Fostering students competence in applying interdisciplinary knowledge to solve problems has been recognized as an important and challenging issue globally. This is why STEM (Science, Technology, Engineering, ..."
904,1,Games are seen as environments that promote the engagement of children to the learning of Computational Thinking (CT) concepts. The new forms of interaction using body movements and gestures have increased in ...
2869,1,The inductive logic of grounded theory and the principle of avoiding theoretical preconceptions are significantly different from the deductive logic and hypothesis testing of traditional quantitative research....
1501,2,"The basal ganglia (BG) is part of a basic feedback circuit regulating cortical function, such as voluntary movements control, via their influence on thalamocortical projections. BG disorders, namely Parkinson..."
243,2,There has recently been a conscious push for cities across the globe to be smart and even smarter and thus more sustainable by developing and implementing big data technologies and their applications across va...
154,2,This article provides a commentary on Thomas Grunds International Conference on Computational Social Science 2021 keynote Dynamics of Denunciation: The Limits of a Scandal. The keynote presents results from...
474,3,"The pervasive digitization of society underscores the crucial role of data and its significant impact on decision-making across various domains. As a result, it is essential for individuals to acquire competen..."
179,2,"Computational thinking is the capacity of undertaking a problem-solving process in various disciplines (including STEM, i.e. science, technology, engineering and mathematics) using distinctive techniques that ..."
400,2,Education goals have evolved to emphasize student acquisition of the knowledge and attributes necessary to successfully contribute to the workforce and global economy of the twenty-first Century. The new educa...
3081,3,"Sociology is a science concerned with both the interpretive understanding of social action and the corresponding causal explanation, process, and result. A causal explanation should be the foundation of predic..."
813,1,"Improving the effectiveness of education requires progress on both sides of the learning equation: students need to enhance their learning capabilities, and teachers need to refine their teaching strategies. T..."
336,1,This article introduces an ontology-based framework for group assessment analytics that investigates the impact of intra-group interactions on group performance within the context of project-based collaborativ...
1780,2,Individualized treatment is crucial for epileptic patients with different types of seizures. The differences among patients impact the drug choice as well as the surgery procedure. With the advance in machine ...
1721,1,"This paper makes a critical review of educational and operational issues related with pandemic and postpandemic lessons in Latin American higher education institutions (LATAM HEI), as background for uncovering..."
1158,1,An important goal in a number of optimization studies is a high-quality weld joint. Thermal analysis of AISI 1020 low carbon steel plate agglutinated by gas tungsten arc welding technique was carried out using...
2019,1,"Memory, the process of encoding, storing, and maintaining information over time to influence future actions, is very important in our lives. Losing it, it comes with a great cost. Deciphering the biophysical m..."
499,1,"LHPP is a tumor suppressor protein associated with various malignancies like liver, oral, pharyngeal, bladder, cervical, and gastric cancers through controlling various pathways. Several single nucleotide vari..."
2994,1,"Strategic organizational decision making in todays complex world is a dynamic process characterized by uncertainty. Therefore, diverse groups of responsible employees deal with the large amount and variety of..."
834,1,"The existing physical layer security schemes, which are based on the key generation model and the wire-tap channel model, achieve security by utilizing channel reciprocity entropy and noise entropy, respective..."
2316,1,Learning technology periodically undergoes changes in response to changes in the prevailing models of human cognition and learning. A major shift throughout the behavioral sciences that began in the 1980s is b...
784,2,"This study aimed to retrospectively evaluate the influence of contralateral anterior circulation on computational fluid dynamics (CFD) of intracranial arteries, by comparing the CFD values of flow velocities i..."
793,2,Microplastic (MPL) abundance in the environment and the biosphere is a grave problem that is confounded by many aspects with one vital aspect being the characterization of their heterogeneous matrix. Currently...
3074,1,This article analyzes some analogies going from Artificial Life questions about the symbolmatter connection to Artificial Intelligence questions about symbol-grounding. It focuses on the notion of the interpr...
265,2,"Multiscale modeling of neuropsychiatric illness bridges scales of clinical importance: from the highest scales (presentation of behavioral signs and symptoms), through intermediate scales (clinical testing and..."
2384,2,This research proposes a new product development (NPD) framework for innovation-driven deep-tech research to commercialization and tested it with three case studies of different exploitation methods. The propo...
1049,1,"Neurons are characterised by a morphological structure unique amongst biological cells, the core of which is the dendritic tree. The vast number of dendritic geometries, combined with heterogeneous properties ..."
715,1,Two critical challenges in science education are how to engage students in the practices of science and how to develop and sustain interest. The goal of this study was to examine the extent to which high schoo...
648,2,"This study explores pre-service preschool teachers acceptance and self-efficacy towards Educational Robotics (ER) during a university course, and also examines their perceptions of the course."
2616,1,"The application of artificial intelligence (AI) in STEM education (AI-STEM), as an emerging field, is confronted with a challenge of integrating diverse AI techniques and complex educational elements to meet i..."
3011,1,The seriousness of the current crisis urgently demands new economic thinking that breaks the austerity vs. deficit spending circle in economic policy. The core tenet of the paper is that the most important proble...
1036,1,"Energy systems, as critical infrastructures (CI), constitute Cyber-Physical-Social Systems (CPSS). Due to their inherent complexity and the importance of service continuity of CIs, digitization in this context..."
2684,1,We present an introduction to the modeling of networks of nodes which parse the information presented to them into an output. One example is the nodes are excitable neurons which are collected into a nervous s...
3159,1,"Teachers are a critical component to standards-based reform systems, which require that reforms conceived at the national level pass through several layers of the educational system before impacting learning i..."
434,1,"We discuss transforming STEM education using three aspects: learning progressions (LPs), constructed response performance assessments, and artificial intelligence (AI). Using LPs to inform instruction, curricu..."
1042,2,"In recent years, workshops involving programming on computers have been held in elementary education to promote creative thinking. In our experience of conducting programming workshops for children for over 10..."
2440,1,"The purpose of this research was to design a course based on the design-based learning (DBL) model to improve undergraduates web design skills, and to explore the differences in learning effectiveness of stud..."
1380,1,"Hepatitis C virus (HCV) is considered a worldwide health problem since it affects over 3% of the population and causes 300,000 fatalities per year. Chronic infection causes high morbidity and mortality in pati..."
2247,1,We present a large-scale computational 3D topographic microscope that enables 6-gigapixel profilometric 3D imaging at micron-scale resolution across >110 cm2 areas over multi-millimeter axial ranges. Our computat...
2523,1,What do we think about when we mind wander and where do these thoughts come from? We tested the idea that semantically rich stimuli yield patterns of mind wandering that are closely coupled with the stimuli co...
83,2,The relationship between cognitive engagement and learning gains in computer programming has not been well-studied. This study examined the relationship between students cognitive engagement and learning gain...
3143,1,"The leading approaches in Machine Learning are notoriously data-hungry. Unfortunately, many application domains do not have access to big data because acquiring data involves a process that is expensive or tim..."
2118,2,"In this paper, the potential for conserving energy has been used inside the collaborative network. The purpose of this work is to examine a model of a collaborative mobile cloud with the objective of lowering ..."
1545,2,"Alternaria blight, a recalcitrant disease caused by Alternaria brassicae and Alternaria brassicicola, has been recognized for significant losses of oilseed crops especially rapeseed-mustard throughout the world. ..."
3070,1,"Advancements in artificial intelligence (AI), particularly generative AI models such as ChatGPT, offer transformative opportunities to enhance educational practices in STEM disciplines. Thermodynamics, a funda..."
2150,1,"Influenza virus disease remains one of the most contagious diseases that aided the deaths of many patients, especially in this COVID-19 pandemic era. Recent discoveries have shown that the high prevalence of i..."
562,1,This study investigates learners reading behaviors in a critical reading task in humanities course using learning analytics techniques. A Critical Analysis of Literature and Cinema course was selected as a conte...
1528,1,This research aims to explore and investigate potential factors influencing students academic achievements and satisfaction with using online learning platforms. This study was constructed based on Transactio...
2145,1,"Breast cancer, particularly the human epidermal growth factor receptor 2 positive subtype, presents a significant global health challenge due to its high prevalence and mortality rates. This study delves into ..."
1754,1,Hypertension is one of the burning topics in todays world. Natural product can open a new window in the treatment as they are lesser side effect compared to synthetic compounds. Paederia foetida a naturally occu...
2962,2,"Today, artificial intelligence-based computational approach is facilitating multitasking and interdisciplinary analytical research. For example, the data gathered during an analytical research project such as ..."
1255,1,The increasing use of computers in science allows for the scientific analyses of large datasets at an increasing pace. We provided examples and interactive demonstrations at Dundee Science Centre as part of th...
1145,1,Previous studies on quantitative physics problem solving have been concerned with students using equations simply as a numerical computational tool. The current study started from a research question: How do...
2660,1,"Data sensing, information processing, and networking technologies are being fast embedded into the very fabric of the contemporary city to enable the use of innovative solutions to overcome the challenges of s..."
2199,1,This research highlights a school-university collaboration to pilot a professional development framework for integrating STEM in K-6 mathematics classrooms in a mid-Atlantic suburban school division. Because m...
1663,1,"As the number and cleverness of cyber-attacks keep increasing rapidly, it's more important than ever to have good ways to detect and prevent them. Recognizing cyber threats quickly and accurately is crucial be..."
2161,1,"Interactive programming environments are powerful tools for promoting innovative network thinking, teaching science of complexity, and exploring emergent phenomena. This paper reports on our recent development..."
477,1,"Problem posing, the generation of questions by learners, has been shown to be an effective instructional strategy for teachinglearning of complex materials in domains such as mathematics. In this paper, we de..."
1082,1,"Though a stronger orientation of research and innovation with a focus on societal needs, demands, and preferences has recently become the main argument under the header of responsible research and innovation, ..."
1376,1,"Causality is inherently linked to decision-making, as causes let us better predict the future and intervene to change it by showing which variables have the capacity to affect others. Recent advances in machin..."
2412,2,"In the age of globalization, economic growth and the welfare of nations decisively depend on basic innovations. Therefore, education and knowledge is an important advantage of competition in highly developed c..."
3010,2,Achieving and managing economic sustainability is one of the crucial tasks for our globalized world. One of the most ambitious economic projects known to humankind claims to stand for long-term global economic...
1117,1,"Where do novel and innovative ideas in sport science come from? How do researchers and practitioners collectively explore the dynamic landscape of inquiry, problem, solution and application? How do they learn ..."
1830,1,A new study on the teaching and learning of whole number arithmetic in primary school and pre-school will be conducted by the International Commission on Mathematical Instruction (ICMI). The study is organized...
1179,1,The concept of openness and information sharing (linking) together with increasing amounts of data available significantly affect the current educational system. Institutions as well as other stakeholders are ...
2738,2,"Neurotropic pathogens, notably, herpesviruses, have been associated with significant neuropsychiatric effects. As a group, these pathogens can exploit molecular mimicry mechanisms to manipulate the host centra..."
2508,1,"Instructor scaffolding is proved to be an effective means to improve collaborative learning quality, but empirical research indicates discrepancies about the effect of instructor scaffoldings on collaborative ..."
1356,1,"A human computation system can be viewed as a distributed system in which the processors are humans, called workers. Such systems harness the cognitive power of a group of workers connected to the Internet to ..."
1739,2,"Insurgency emerges from many interactions between numerous social, economical, and geographical factors. Adequately accounting for the large number of potentially relevant interactions, and the complex ways in..."
550,2,"With the increasing demand brought on by the beginning of the fourth industrial revolution in the period of post-digital education and bio-digital technology, artificial intelligence (AI) has played a pivotal ..."
274,2,This study focuses on the integration of methods from different theories and research concepts into futures studies in order to better understand the obscure future through the identification of unpredictable ...
1681,1,"The third day of the third US-China Smart Education Conference featured a discussion with 27 thinkers representing higher education, business and industry, vocational training, and policy making. Researchers f..."
238,2,"We are moving into an era where instrumentation, datafication, and computerization are routinely pervading the very fabric of cities, coupled with the interlinking, integration, and coordination of their syste..."
2082,1,"This article systematically reviews empirical studies involving scientific literacy published in peer-reviewed journals, focusing on the construction of scientific literacy in formal education worldwide, the s..."
1415,1,A literature review was conducted to develop a clear understanding of the student-centered approach using modern technologies in distance learning. The study aimed to address four research questions: What rese...
933,1,"The development of multicore hardware has provided many new development opportunities for many application software algorithms. Especially, the algorithm with large calculation volume has gained a lot of room ..."
2636,1,The growing understanding of the oppressive inequities that exist in postsecondary education has led to an increasing need for culturally relevant pedagogy. Researchers have found evidence that beliefs about t...
2617,1,"Digital educational games exhibit substantial promise in advancing STEM education. Nevertheless, the empirical evidence on both the efficacy of digital game-based learning and its designs in STEM education is ..."
2964,2,Previous research has highlighted the importance of physicians early hypotheses for their subsequent diagnostic decisions. It has also been shown that diagnostic accuracy improves when physicians are presente...
2693,2,The concept of the Human Digital Twin (HDT) has recently emerged as a new research area within the domain of digital twin technology. HDT refers to the replica of a physical-world human in the digital world. C...
3042,2,"Despite dramatic advances in decoding the genes, proteins, and pathways that drive cancer, the disease has evaded the reductionist approaches to defeat it. Recent work has highlighted cancers heterogeneity, c..."
139,2,"In the last few years, the deep learning (DL) computing paradigm has been deemed the Gold Standard in the machine learning (ML) community. Moreover, it has gradually become the most widely used computational a..."
749,1,"The rapid increase of fraud attacks on banking systems, financial institutions, and even credit card holders demonstrate the high demand for enhanced fraud detection (FD) systems for these attacks. This paper ..."
3051,3,"Intuition can lead to more effective decision-making than analysis under certain conditions. This assumption can be regarded as common sense. However, dominant research streams on intuition effectiveness in de..."
801,2,The metaverse has become one of the most popular concepts of recent times. Companies and entrepreneurs are fiercely competing to invest and take part in this virtual world. Millions of people globally are anti...
1226,1,"Digital transformation is rapidly causing major, even disruptive changes in many industries. Moreover, global developments like digital platforms (cloud) and IoT create fundamentally new connections at many le..."
2769,2,"This article describes a teaching strategy that synergizes computing and management, aimed at the running of complex projects in industry and academia, in the areas of civil engineering, physics, geosciences, ..."
1511,1,"The development of new technologies enables learners to learn more effectively, efficiently, flexibly and comfortably. Learners utilize smart devices to access digital resources through wireless network and to..."
2232,1,"The benefit of auditory models for solving three music recognition tasksonset detection, pitch estimation, and instrument recognitionis analyzed. Appropriate features are introduced which enable the use of s..."
2284,1,"This article begins with the analogy between work in philosophy and work in architecture proposed by Wittgenstein, based on the idea that in both cases we are faced with work on ourselves and on the constructi..."
2327,1,"The paper analyzes the application of the numerical findings of the program, which is becoming increasingly difficult for civil and structural design. Since, as in many other countries, the verification of des..."
557,2,Identifying investment patterns as part of customer segmentation is one of the most important tasks in retail banking. Clustering customers effectively is an important element of improving marketing policy and...
522,2,"In this paper, we describe a novel approach to classical approximation theory of periodic univariate and multivariate functions by trigonometric polynomials. While classical wisdom holds that such approximatio..."
2017,1,"An AI driven double-tier detection system, means this is a security framework that works in two layers to increase accuracy and reliability of threat identification, this is presented in this research. The sys..."
2399,2,This paper advances in the understanding of motivation in terms of flow in groups from a physiological perspective. We use wearable devices to monitor the heart rate variation during a set of sessions of face-...
3002,2,"In this paper, we put in dialogue the local dimension of a nation-state with the global challenges faced by universities worldwide. We focus on the case of Denmark, a nation that was exceptionally active in im..."
2510,2,Studying science identity has been useful for understanding students continuation in science-related education and career paths. Yet knowledge and theory related to science identity among students on the path...
880,2,"Technologies arising out of successful high-tech mergers and acquisitions (M&A) have a significant innovation potential. However, forecasting of the possible output is coupled with uncertainties caused by misl..."
2728,1,"In recent years, parallel developments in disparate disciplines have focused on what has come to be termed connectivity; a concept used in understanding and describing complex systems. Conceptualisations and oper..."
1391,1,"Scientists spend a substantial amount of their time engaging with the primary literature: reading, constructing, reviewing and revising it. Yet, the role of primary literature is generally absent from the deve..."
2221,2,The goal of this paper is to describe a systemaided performance and composition tool that aims to expand guitarist capacities by providing innovative ways in which the user can interact with the system. In ord...
2743,2,"Evolutionary psychiatry tries to explain paradoxical high psychiatric disorders and symptoms prevalence by means of evolutionary biology, but testing their hypotheses is often problematic. Social Navigation Hy..."
1588,1,"Language is characterized by both ecological properties and social properties, and competition is the basic form of language evolution. The rise and decline of one language is a result of competition between l..."
1661,1,"Rapid restoration of access to essential goods and services has long been regarded as paramount for community recovery. Yet, there remains ambiguity in how access should be defined, measured, or operationalize..."
1576,1,This paper deals with the blind carrier frequency offset (CFO) estimation based on weighted subspace fitting (WSF) criterion with fuzzy adaptive gravitational search algorithm (GSA) for the interleaved orthogo...
898,1,"The brain is a complex system, due to the heterogeneity of its structure, the diversity of the functions in which it participates and to its reciprocal relationships with the body and the environment. A system..."
2734,1,"In recent years, machine learning (ML) has had a great impact in the area of non-intrusive, non-linear model order reduction (MOR). However, the offline training phase often still entails high computational co..."
1595,1,The society of the early twenty-first century is characterized as the knowledge society. Schools cannot afford to remain detached from the fast-moving changes that are taking place and have therefore made inno...
1937,1,Efforts towards providing inclusive science and mathematics education for marginalized students are increasingly found in literature advocating for equity-oriented instruction through supporting students crit...
2641,1,"Todays digital era challenges organisations not only to follow the technological trajectories, by developing new technological solutions and/or adopting the latest disruptive technology, but most importantly ..."
769,1,"In this paper, we investigate the relationship between theory and design in the context of creating digital games to support children's development of scientific expertise."
2612,1,"As K-12 STEM education moves toward the integrated application of mathematics and science concepts in collaborative and complex real-world problem solving, there is a commensurate need to redefine what it mean..."
1140,1,"Mounting concerns about the levels and distributions of human capital, as well as how they are associated with outcomes for individuals and societies, have contributed to an increase in the number of national ..."
341,3,"Memory retrieval is driven by similarity between a present situation and some prior experience, but not all similarity is created equal. Analogical retrieval, rooted in the similarity between two situations in..."
646,1,"Recently, governments and organizations have repeatedly pressed manufacturing enterprises to promote the ethical and transparent use of natural resources, lessen their negative effects on national and internat..."
1818,2,Social media like Twitter or Instagram play the role of fertile platforms for self-exhibition and allow their users to earn a good repute. People higher in grandiosity share their contents in a charismatic way...
2763,2,"This survey explores how Deep Learning has battled the COVID-19 pandemic and provides directions for future research on COVID-19. We cover Deep Learning applications in Natural Language Processing, Computer Vi..."
2141,1,This paper presents several optimization algorithms for a High Efficiency Video Coding (HEVC) encoder based on single instruction multiple data (SIMD) operations and data-level parallelism. Based on the analys...
2366,1,"Research and curriculum development on quantum information science is a novel but technologically and socially significant challenge for physics education. While the debate is open on the core content, the app..."
587,2,"A growing body of research in cognitive psychology and education research is illuminating which study strategies are effective for optimal learning, but little descriptive research focuses on how undergraduate..."
2280,2,We develop a theory of grounded and embodied mathematical cognition (GEMC) that draws on action-cognition transduction for advancing understanding of how the body can support mathematical reasoning. GEMC propo...
2788,1,"Design patterns provide a systematic way to convey solutions to recurring modeling challenges. This paper introduces design patterns for hybrid modeling, an approach that combines modeling based on first princ..."
3141,1,Subject motion can introduce noise into neuroimaging data and result in biased estimations of brain structure. In-scanner motion can compromise data quality in a number of ways and varies widely across develop...
841,1,"This study aims to assess the accuracy of generative pre-trained transformer 4o (GPT-4o) in answering multiple response questions from the European Diploma in Radiology (EDiR) examination, comparing its perfor..."
152,1,"Digital social networks have become an essential source of information because celebrities use them to share their opinions, ideas, thoughts, and feelings. This makes digital social networks one of the preferr..."
2888,1,"Educational outcomes are heavily reliant on student engagement, yet this concept is complex and subject to diverse interpretations. The intricacy of the issue arises from the broad spectrum of interpretations,..."
2789,1,"This article proposes a novel computational modeling approach for short-ranged molecular interactions between curved slender fibers undergoing large 3D deformations, and gives a detailed overview how it fits i..."
606,2,"The paradigm shift towards Smart Grids, Smart Buildings, Smart Monitoring, and Operation has driven researchers to propose innovative solutions for designing and maintaining energy systems. Although the integr..."
